marca,modelo,version,anio_inicio,anio_fin,combustible,startstop,amperaje,sku_baterias,,,,
ALFA ROMEO,STELVIO,TODOS,2019,0,,,,MA80CD,,,,
ALFA ROMEO,MITO,1.4,2009,0,,,,M22ED,,,,
ALFA ROMEO,GIULIETTA,1.4 T,2011,0,,,,M22ED,,,,
ALFA ROMEO,33,TODOS,1990,1995,,,,M22GD,,,,
ALFA ROMEO,145,TODOS,1990,2000,,,,M22GD,,,,
ALFA ROMEO,146,TODOS,1996,2000,,,,M22GD,,,,
ALFA ROMEO,147,1.6 TS 16V ECO,2000,,,,12x75,"M26AD,FW85",,,,
ALFA ROMEO,147,2.0 TS 16V,2000,,,,,"M26AD,FW85",,,,
ALFA ROMEO,155,TODOS,1991,1997,,,,M22GD,,,,
ALFA ROMEO,156,  2.0 TS 16V,1997,2005,,,,M22GD,,,,
ALFA ROMEO,156,2.5 24V,1997,2005,,,,M22GD,,,,
ALFA ROMEO,156,SW 2.0 TS 16V,1997,2005,,,,M22GD,,,,
ALFA ROMEO,164/166/GT,TODOS,1992,0,,,,M28KD,,,,
ALFA ROMEO,Spider,TODOS,1990,0,,,,M18FD,,,,
ALFA ROMEO,GIULIETTA,1.8,2011,0,,,,"M26AD,FW85",,,,
ALFA ROMEO,147,1.9 JTD,2000,2005,,,,M22GD,,,,
ALFA ROMEO,156,  2.4 JTD,1997,2005,,,,M28KD,,,,
ALFA ROMEO,156,SW 2.4 JTD,1997,2005,,,,M28KD,,,,
ALFA ROMEO,156,SW 2.5 24V,1997,2005,,,,M28KD,,,,
AUDI,100,TODOS,1993,1995,,,,M30LD,,,,
AUDI,80 / 80 AVANT,TODOS,1994,2000,,,,M30LD,,,,
AUDI,A1,TODOS,2011,2012,,,,ME80CD,,,,
AUDI,A1,TODOS,2013,2019,,,,MA80CD,,,,
AUDI,A3,TODOS,1999,2008,,,,M30LD,,,,
AUDI,A3,TODOS,2009,2012,,,,ME80CD,,,,
AUDI,A3,TODOS,2013,2019,,,,MF72LD,,,,
AUDI,A4,TODOS,2013,2018,,,,MA92QD,,,,
AUDI,A4,TODOS,1995,2012,,,,ME80CD,,,,
AUDI,A5,TODOS,2013,2018,,,,MA92QD,,,,
AUDI,A5,TODOS,2008,2012,,,,ME80CD,,,,
AUDI,A6 ALLROAD,TODOS,2001,2005,,,,M28KD,,,,
AUDI,A6,TODOS,1998,2007,,,,M30LD,,,,
AUDI,A6,2.0 / 3.0,2011,2018,,,,MA105DD,,,,
AUDI,A6,3.2 FSI,2008,2010,,,,ME80CD,,,,
AUDI,A6,3.2 FSI / 3.0 TFSI / AVANT / QUATTRO / 4.2,2007,2008,,,,ME95QD,,,,
AUDI,A7,TODOS,2011,2012,,,,ME80CD,,,,
AUDI,,TODOS,2013,2018,,,,MA105DD,,,,
AUDI,A8,4.2 QUATTRO,2000,2008,,,,M30LD,,,,
AUDI,A8,4.0 TFSI TIPTRONIC QUATTRO,2013,2017,,,,MA105DD,,,,
AUDI,A8,4.2 QUATTRO,2013,2017,,,,MA105DD,,,,
AUDI,A8,6.3 - 6.2 W12/,2013,2017,,,,MA105DD,,,,
AUDI,A8,L 3.0 V6 TFSI,2015,2016,,,,MA92QD,,,,
AUDI,A8,4.2 FSI QUATTRO/6.3,2010,2012,,,,ME80CD,,,,
AUDI,A8,6.0 W12 QUATTRO,2006,2008,,,,ME95QD,,,,
AUDI,Q3,2.0 TFSI QUATTRO,2012,2012,,,,"M26AD,FW85",,,,
AUDI,Q3,2.0 TFSI QUATTRO,2013,2017,,,,MA72LD,,,,
AUDI,Q3,2.0 TFSI QUATTRO / 1.4 TFSI S-TRONIC,2013,2018,,,,MF72LD,,,,
AUDI,Q3 RS,2.5 TFSI QUATTRO,2014,2017,,,,MA80CD,,,,
AUDI,Q5,TODOS,2009,2012,,,,ME95QD,,,,
AUDI,Q5,TODOS,2013,2018,,,,MA92QD,,,,
AUDI,Q7,AMBITION 3.0 TFSI QUATTRO,2016,2016,,,,MA105DD,,,,
AUDI,Q7,AMBITION 3.0 V6 TFSI QUATTRO,2016,2016,,,,MA105DD,,,,
AUDI,Q7,AMBITION,2013,2018,,,,MA92QD,,,,
AUDI,Q7,3.0 TFSI QUATTRO,2013,2018,,,,MA92QD,,,,
AUDI,Q7,3.0 TDI QUATTRO TIPTRONIC (Diesel),2013,2018,,,,MA92QD,,,,
AUDI,Q7,3.0 TFSI QUATTRO,2006,2012,,,,ME95QD,,,,
AUDI,R8,TODOS,2013,2017,,,,MA92QD,,,,
AUDI,R8,TODOS,2008,2012,,,,ME95QD,,,,
AUDI,RS2,AVANT,1995,1995,,,,M30LD,,,,
AUDI,RS3,TFSI SPORTBACK 2.5 S TRONIC QUATTRO,2012,2012,,,,ME80CD,,,,
AUDI,RS3,TFSI SPORTBACK 2.5 S TRONIC QUATTRO,2013,2016,,,,MA80CD,,,,
AUDI,RS4,2.7 AVANT BI-TURBO QUATTRO,2001,2007,,,,ME95QD,,,,
AUDI,RS4,4.2 AVANT FSI QUATTRO,2013,2016,,,,MA92QD,,,,
AUDI,RS5,4.2 COUPE QUATTRO,2010,2012,,,,ME95QD,,,,
AUDI,RS5,4.2 COUPE QUATTRO,2013,2016,,,,MA92QD,,,,
AUDI,RS6,5.0 TFSI,2014,2014,,,,MA105DD,,,,
AUDI,RS6,4.0 AVANT BI-TURBO QUATTRO/ 5.0,2012,2018,,,,MA92QD,,,,
AUDI,RS6,4.2 AVANT BI-TURBO / 5.0,2003,2011,,,,ME95QD,,,,
AUDI,RS7,SPORTBACK 4.0 V8 TSFI QUATTRO,2014,2018,,,,MA92QD,,,,
AUDI,S3,TODOS,2001,2012,,,,M30LD,,,,
AUDI,S3,TODOS,2013,2017,,,,MA80CD,,,,
AUDI,S4,TODOS,2013,2014,,,,MA92QD,,,,
AUDI,S4,TODOS,1998,2012,,,,ME95QD,,,,
AUDI,S5,TODOS,2013,2016,,,,MA92QD,,,,
